id,cltv
89393,106101.57
89394,30860.729
89395,43099.71
89396,71465.8
89397,70009.4
89398,31736.736
89399,50238.766
89400,177927.48
89401,67363.805
89402,369794.28
89403,88915.305
89404,50828.215
89405,32866.348
89406,51617.1
89407,182708.53
89408,58676.754
89409,96270.695
89410,100024.195
89411,54437.805
89412,47110.797
89413,31465.47
89414,68551.02
89415,43752.86
89416,35847.492
89417,197514.38
89418,114583.39
89419,58423.66
89420,32053.943
89421,56193.586
89422,99361.625
89423,59580.305
89424,100230.11
89425,85873.48
89426,33734.51
89427,111297.195
89428,60062.75
89429,62783.9
89430,31126.252
89431,58245.88
89432,34108.832
89433,69757.99
89434,63604.875
89435,63497.082
89436,147863.3
89437,110923.125
89438,65207.633
89439,68873.22
89440,35528.84
89441,101309.32
89442,67504.73
89443,95715.086
89444,66750.28
89445,33057.94
89446,369793.62
89447,118454.93
89448,35085.43
89449,48845.074
89450,178492.27
89451,62772.26
89452,244347.92
89453,110437.555
89454,52218.62
89455,100784.8
89456,51084.504
89457,72447
89458,64326.074
89459,66067.414
89460,70473.61
89461,138048.97
89462,63947.473
89463,33318.344
89464,369793
89465,35224.875
89466,81419.18
89467,334857.94
89468,28415.13
89469,57794.332
89470,32197.393
89471,97670.06
89472,94440.54
89473,144658.72
89474,31744.93
89475,65879.055
89476,29313.592
89477,116851.87
89478,65126.293
89479,143064.2
89480,61182.45
89481,94644.13
89482,109071.88
89483,27739.15
89484,67957.914
89485,65497.49
89486,59086.734
89487,89564.86
89488,307798.62
89489,58088.21
89490,32906.49
89491,33997.645
89492,119404.445
89493,105536.07
89494,96265.51
89495,34772.477
89496,35153.816
89497,369797.8
89498,87249.625
89499,62109.867
89500,100142.97
89501,35367.797
89502,67430.12
89503,57239.52
89504,98377.8
89505,65676.47
89506,60018.47
89507,33813.176
89508,55305.695
89509,67763.96
89510,100858.21
89511,154575.9
89512,143154.25
89513,35033.22
89514,32779.61
89515,65714.93
89516,68408.99
89517,339514.78
89518,90918.41
89519,145713.36
89520,94248.73
89521,33686.855
89522,59046.273
89523,60320.36
89524,58557.977
89525,68438.555
89526,62084.9
89527,55721.023
89528,116160.72
89529,199943.08
89530,67500.88
89531,59065.805
89532,47242.78
89533,36546.633
89534,109214.24
89535,258187.61
89536,67497.625
89537,93754.39
89538,159743.61
89539,61475.594
89540,58293.266
89541,59710.902
89542,120101.695
89543,65004.57
89544,63989.742
89545,63466.48
89546,39330.777
89547,62788.523
89548,49937.336
89549,66565.945
89550,58127.17
89551,28801.379
89552,61727.72
89553,34433.215
89554,135153.19
89555,77518.59
89556,31021.945
89557,29286.936
89558,61686.51
89559,59441.42
89560,168531.53
89561,60298.9
89562,152032.16
89563,98970.75
89564,95236.8
89565,45263.543
89566,91408.24
89567,99954.83
89568,28931.582
89569,264864.9
89570,275637
89571,329994.72
89572,33135.18
89573,68407.79
89574,68601.195
89575,369793.03
89576,61227.527
89577,65842.945
89578,100380.02
89579,63683.145
89580,63223.496
89581,103185.37
89582,60389.38
89583,52733.48
89584,122657.695
89585,306410.53
89586,62128.582
89587,36129.938
89588,158670.83
89589,99433.85
89590,102371.52
89591,114302.25
89592,58000.094
89593,181087.97
89594,96680.7
89595,173025.3
89596,100525.195
89597,139392.52
89598,63483.613
89599,32164.035
89600,92262.87
89601,63341.332
89602,62931.25
89603,33571.523
89604,56743.516
89605,369793.8
89606,33571.434
89607,64552.316
89608,72046.45
89609,126470.62
89610,141052.47
89611,136175.69
89612,33488.47
89613,34435.61
89614,70841.06
89615,67942.06
89616,62670.332
89617,32958.195
89618,94440.1
89619,71150.555
89620,34653.26
89621,67697.91
89622,59797.14
89623,99367.77
89624,320321.28
89625,105595.016
89626,102910.08
89627,321530.16
89628,32629.61
89629,35698.79
89630,64582.895
89631,286264.3
89632,38048.254
89633,212538.31
89634,30654.088
89635,73285.21
89636,104773.92
89637,106498.13
89638,51568.227
89639,96572.01
89640,95290.93
89641,73026.37
89642,33933.418
89643,187441.22
89644,93848.9
89645,34099.625
89646,54913.965
89647,57312.863
89648,90933.13
89649,285271.78
89650,60038.7
89651,67401.25
89652,65207.664
89653,31165.662
89654,32376.049
89655,32450.264
89656,38497.816
89657,220096.4
89658,63399.812
89659,369797.3
89660,232012.52
89661,97953.516
89662,63395.598
89663,74647.59
89664,33665.918
89665,369798.06
89666,241940.81
89667,60897.945
89668,37306.65
89669,33521.37
89670,129264.52
89671,146141.62
89672,107464.81
89673,52934.875
89674,369793.9
89675,67218.86
89676,107839.25
89677,67579.5
89678,299336.97
89679,34088.9
89680,45972.27
89681,32128.25
89682,62093.656
89683,187383.44
89684,128602.91
89685,222758.34
89686,63620.695
89687,60548.066
89688,69561.41
89689,31013.41
89690,31270.992
89691,362431.16
89692,173894.05
89693,32240.451
89694,63642.223
89695,94480.53
89696,58551.355
89697,98553.83
89698,30640.621
89699,68049.78
89700,35180.71
89701,244836.9
89702,65347.652
89703,61842.184
89704,155464.69
89705,61971.984
89706,28876.117
89707,31473.014
89708,60552.598
89709,103459.3
89710,29251.969
89711,66554.11
89712,52591.95
89713,33295.84
89714,63170.797
89715,34487.992
89716,228702.06
89717,31961.754
89718,208408.08
89719,52574.8
89720,100901.42
89721,63223.83
89722,34473.598
89723,65147.984
89724,96402.47
89725,352128.53
89726,29214.805
89727,154401.69
89728,92840.33
89729,62900.297
89730,95555.766
89731,63232.105
89732,32906.49
89733,65921.375
89734,66680.71
89735,59035.12
89736,34694.4
89737,31373.014
89738,72542.695
89739,43558.902
89740,62887.215
89741,271976.72
89742,67043.34
89743,47233.016
89744,92149.36
89745,32629.441
89746,34870.156
89747,69021.164
89748,36373.26
89749,32181.566
89750,67122.83
89751,60466.914
89752,61628.8
89753,32741.371
89754,68402.266
89755,68018.54
89756,105902.61
89757,49056.195
89758,62949.113
89759,101634.24
89760,92673.08
89761,33960.633
89762,66036.56
89763,85856.875
89764,90932.95
89765,62209.04
89766,33207.43
89767,369794.5
89768,96095.04
89769,120128.055
89770,82425.51
89771,369792.4
89772,58795.273
89773,50178.477
89774,60478.207
89775,56292.97
89776,33664.78
89777,68204.94
89778,34473.78
89779,103868.8
89780,65126.293
89781,67908.73
89782,194427.9
89783,42267.777
89784,89384.125
89785,32604.432
89786,52119.113
89787,30269.623
89788,68447.984
89789,36301.59
89790,67894.2
89791,33686.88
89792,31569.55
89793,58222.156
89794,104133.97
89795,369793.9
89796,64582.754
89797,57486.58
89798,31577.633
89799,104340.21
89800,67910.21
89801,36145.258
89802,318771.53
89803,33092.332
89804,27815.19
89805,53997.797
89806,49034.895
89807,46456.242
89808,353034.44
89809,361371.16
89810,62289.758
89811,71299.25
89812,72677.3
89813,95917.914
89814,59364.035
89815,31736.254
89816,63886.383
89817,30860.676
89818,49603.8
89819,142967.14
89820,36513.324
89821,64540.035
89822,63797.363
89823,64821.273
89824,29991.547
89825,67339.32
89826,32500.861
89827,32449.107
89828,64898.8
89829,67683.99
89830,71700.195
89831,74319.32
89832,105569.5
89833,32875.996
89834,96384.38
89835,57312.504
89836,31607.322
89837,30575.904
89838,42156.25
89839,71982.266
89840,175490.14
89841,135417.02
89842,143643.6
89843,55813.91
89844,73238.58
89845,289912.7
89846,104375.4
89847,33862.04
89848,113477.11
89849,57486.637
89850,127277.24
89851,110532.89
89852,61187.5
89853,59589.19
89854,43956.88
89855,59166.703
89856,66154.63
89857,71476.3
89858,51808.2
89859,185002.4
89860,112366.25
89861,64859.008
89862,66273.01
89863,61301.44
89864,44355.105
89865,108407.945
89866,98281.195
89867,94504.375
89868,369790.38
89869,40894.934
89870,303921.12
89871,98836.625
89872,60298.605
89873,71358.51
89874,61611.33
89875,34948.51
89876,51536.734
89877,103568.98
89878,54909.582
89879,64472.61
89880,103484.664
89881,158451.9
89882,343944.06
89883,75018.45
89884,77657.13
89885,42476.52
89886,62494.773
89887,36323.633
89888,173556.72
89889,89714.57
89890,50555.83
89891,71348.164
89892,29287.031
89893,182978.11
89894,57032.133
89895,57566.812
89896,99088.984
89897,33393.402
89898,69307.5
89899,61505.656
89900,56821.008
89901,34004.992
89902,57606.844
89903,47962.453
89904,114236.69
89905,66006.32
89906,66059.11
89907,65207.69
89908,60906.22
89909,301369.16
89910,33579.45
89911,96306.734
89912,31278.94
89913,60781.797
89914,55842.117
89915,160130.69
89916,65448.508
89917,56292.97
89918,80047.375
89919,63881.67
89920,71166.914
89921,43006.02
89922,68219.47
89923,48802.89
89924,61906.555
89925,73190.83
89926,117992.625
89927,59981.855
89928,70742.234
89929,32728.955
89930,72446.945
89931,32054.002
89932,32197.633
89933,178362.8
89934,259718.16
89935,94363.35
89936,65654.836
89937,102217.24
89938,62092.215
89939,31440.854
89940,32571.352
89941,64219.914
89942,141913.48
89943,56501.754
89944,183198.11
89945,67360.32
89946,58279.383
89947,31404.467
89948,64704.45
89949,62792.766
89950,31165.584
89951,38457.777
89952,57339.75
89953,50634.12
89954,34780.566
89955,31541.674
89956,76055.46
89957,64728.504
89958,32673.807
89959,87545.32
89960,106717.65
89961,62901.63
89962,94496.555
89963,114764.65
89964,67988.23
89965,34405.883
89966,130470.18
89967,28465.312
89968,307951.06
89969,70063.67
89970,33412.055
89971,30429.76
89972,64901.227
89973,47572.496
89974,65702.12
89975,194529.83
89976,95779.125
89977,369792.66
89978,56412.348
89979,72039.63
89980,31986.43
89981,106411.37
89982,108949.38
89983,69469.87
89984,61587.76
89985,37767.08
89986,47419.95
89987,59463.574
89988,106581.52
89989,47334.227
89990,33654.695
89991,32023.223
89992,61399.582
89993,57620.945
89994,189695.14
89995,48794.984
89996,111202.2
89997,57620.715
89998,50624.49
89999,101929.25
90000,106404.23
90001,62218.215
90002,57445.7
90003,109109.09
90004,96647.95
90005,61823.39
90006,54124.562
90007,69006.74
90008,182025.23
90009,30723.229
90010,59640.902
90011,46448.566
90012,64564.832
90013,30127.852
90014,45256.74
90015,53899.945
90016,190940.12
90017,65218.953
90018,49806.727
90019,65450.402
90020,63663.62
90021,57519.11
90022,101221.164
90023,37580.41
90024,31810.24
90025,63649.555
90026,139264.47
90027,159519.27
90028,72355.234
90029,31857.123
90030,289039.2
90031,101801.14
90032,71630.805
90033,261927.6
90034,62108.83
90035,369794.88
90036,369806.7
90037,32197.54
90038,149338.19
90039,59355.953
90040,121908.82
90041,68476.6
90042,72046.6
90043,63400.047
90044,318047.1
90045,106059.14
90046,30401.482
90047,111823.04
90048,44206.25
90049,43318.918
90050,109276.86
90051,60656.355
90052,108297.28
90053,59351.848
90054,118072.516
90055,60552.46
90056,31440.832
90057,68681.23
90058,116414.945
90059,51410.92
90060,31489.592
90061,87993.8
90062,48150.11
90063,71102.89
90064,62784.156
90065,95071.76
90066,369791.62
90067,68279.71
90068,51948.504
90069,64652.477
90070,70082.1
90071,369793.34
90072,71757.56
90073,30727.383
90074,173563.69
90075,108848.875
90076,52908.258
90077,50887.043
90078,107796.69
90079,71163.91
90080,105101.01
90081,96505.445
90082,71864.17
90083,113125.65
90084,173944.53
90085,62961.004
90086,33375.418
90087,67238.47
90088,369794.8
90089,61219.99
90090,34694.48
90091,61128.586
90092,66915.57
90093,97665.07
90094,31828.195
90095,180805.89
90096,100584.27
90097,313418.53
90098,178916.17
90099,106453.12
90100,62765.355
90101,36159.965
90102,107621.01
90103,35572.426
90104,33806.9
90105,43750.695
90106,65752.15
90107,60679.24
90108,48298.65
90109,62297.297
90110,97722.44
90111,30605.64
90112,61036.043
90113,34976.66
90114,42879.38
90115,54368.668
90116,139295.72
90117,95640.93
90118,34181.87
90119,62949.35
90120,65271.484
90121,54302.695
90122,29551.264
90123,30082.883
90124,67495.8
90125,37221.203
90126,68144.445
90127,31489.37
90128,117366.48
90129,107199.71
90130,33201.633
90131,104916.54
90132,47616.57
90133,33960.633
90134,33998.973
90135,53012.133
90136,67735
90137,64422.973
90138,105585.59
90139,65160.13
90140,65278.996
90141,64355.715
90142,32430.045
90143,64694.848
90144,31607.248
90145,34690.37
90146,105570.01
90147,99393.93
90148,114846.484
90149,30636.055
90150,53224.453
90151,66154.78
90152,139829.62
90153,110324.125
90154,54240.316
90155,31897.357
90156,65840.87
